Date,result,location,Opp
2006-10-16,W,@,Arizona Cardinals
2006-10-29,W,,San Francisco 49ers
2006-11-05,L,,Miami Dolphins
2006-11-12,W,@,New York Giants
2006-11-19,W,@,New York Jets
2006-11-26,L,@,New England Patriots
2006-12-03,W,,Minnesota Vikings
2006-12-11,W,@,St. Louis Rams
2006-12-17,W,,Tampa Bay Buccaneers
2006-12-24,W,@,Detroit Lions
2006-12-31,L,,Green Bay Packers
2007-09-09,L,@,San Diego Chargers
2007-09-16,W,,Kansas City Chiefs
2007-09-23,L,,Dallas Cowboys
2007-09-30,L,@,Detroit Lions
2007-10-07,W,@,Green Bay Packers
2007-10-14,L,,Minnesota Vikings
2007-10-21,W,@,Philadelphia Eagles
2007-10-28,L,,Detroit Lions
2007-11-11,W,@,Oakland Raiders
2007-11-18,L,@,Seattle Seahawks
2007-11-25,W,,Denver Broncos
2007-12-02,L,,New York Giants
2007-12-06,L,@,Washington Redskins
2007-12-17,L,@,Minnesota Vikings
2007-12-23,W,,Green Bay Packers
2007-12-30,W,,New Orleans Saints
2008-09-07,W,@,Indianapolis Colts
2008-09-14,L,@,Carolina Panthers
2008-09-21,L,,Tampa Bay Buccaneers
2008-09-28,W,,Philadelphia Eagles
2008-10-05,W,@,Detroit Lions
2008-10-12,L,@,Atlanta Falcons
2008-10-19,W,,Minnesota Vikings
2008-11-02,W,,Detroit Lions
2008-11-09,L,,Tennessee Titans
2008-11-16,L,@,Green Bay Packers
2008-11-23,W,@,St. Louis Rams
2008-11-30,L,@,Minnesota Vikings
2008-12-07,W,,Jacksonville Jaguars
2008-12-11,W,,New Orleans Saints
2008-12-22,W,,Green Bay Packers
2008-12-28,L,@,Houston Texans
2009-09-13,L,@,Green Bay Packers
2009-09-20,W,,Pittsburgh Steelers
2009-09-27,W,@,Seattle Seahawks
2009-10-04,W,,Detroit Lions
2009-10-18,L,@,Atlanta Falcons
2009-10-25,L,@,Cincinnati Bengals
2009-11-01,W,,Cleveland Browns
2009-11-08,L,,Arizona Cardinals
2009-11-12,L,@,San Francisco 49ers
2009-11-22,L,,Philadelphia Eagles
2009-11-29,L,@,Minnesota Vikings
2009-12-06,W,,St. Louis Rams
2009-12-13,L,,Green Bay Packers
2009-12-20,L,@,Baltimore Ravens
2009-12-28,W,,Minnesota Vikings
2009-01-03,W,@,Detroit Lions
2010-09-12,W,,Detroit Lions
2010-09-19,W,@,Dallas Cowboys
2010-09-27,W,,Green Bay Packers
2010-10-03,L,@,New York Giants
2010-10-10,W,@,Carolina Panthers
2010-10-17,L,,Seattle Seahawks
2010-10-24,L,,Washington Redskins
2010-11-07,W,@,Buffalo Bills
2010-11-14,W,,Minnesota Vikings
2010-11-18,W,@,Miami Dolphins
2010-11-28,W,,Philadelphia Eagles
2010-12-05,W,@,Detroit Lions
2010-12-12,L,,New England Patriots
2010-12-20,W,@,Minnesota Vikings
2010-12-26,W,,New York Jets
2010-01-02,L,@,Green Bay Packers
2011-09-11,W,,Atlanta Falcons
2011-09-18,L,@,New Orleans Saints
2011-09-25,L,,Green Bay Packers
2011-10-02,W,,Carolina Panthers
2011-10-10,L,@,Detroit Lions
2011-10-16,W,,Minnesota Vikings
2011-10-23,W,@,Tampa Bay Buccaneers
2011-11-07,W,@,Philadelphia Eagles
2011-11-13,W,,Detroit Lions
2011-11-20,W,,San Diego Chargers
2011-11-27,L,@,Oakland Raiders
2011-12-04,L,,Kansas City Chiefs
2011-12-11,L,@,Denver Broncos
2011-12-18,L,,Seattle Seahawks
2011-12-25,L,@,Green Bay Packers
2011-01-01,W,@,Minnesota Vikings
2012-09-09,W,,Indianapolis Colts
2012-09-13,L,@,Green Bay Packers
2012-09-23,W,,St. Louis Rams
2012-10-01,W,@,Dallas Cowboys
2012-10-07,W,@,Jacksonville Jaguars
2012-10-22,W,,Detroit Lions
2012-10-28,W,,Carolina Panthers
2012-11-04,W,@,Tennessee Titans
2012-11-11,L,,Houston Texans
2012-11-19,L,@,San Francisco 49ers
2012-11-25,W,,Minnesota Vikings
2012-12-02,L,,Seattle Seahawks
2012-12-09,L,@,Minnesota Vikings
2012-12-16,L,,Green Bay Packers
2012-12-23,W,@,Arizona Cardinals
2012-12-30,W,@,Detroit Lions
2013-09-08,W,,Cincinnati Bengals
2013-09-15,W,,Minnesota Vikings
2013-09-22,W,@,Pittsburgh Steelers
2013-09-29,L,@,Detroit Lions
2013-10-06,L,,New Orleans Saints
2013-10-10,W,,New York Giants
2013-10-20,L,@,Washington Redskins
2013-11-04,W,@,Green Bay Packers
2013-11-10,L,,Detroit Lions
2013-11-17,W,,Baltimore Ravens
2013-11-24,L,@,St. Louis Rams
2013-12-01,L,@,Minnesota Vikings
2013-12-09,W,,Dallas Cowboys
2013-12-15,W,@,Cleveland Browns
2013-12-22,L,@,Philadelphia Eagles
2013-12-29,L,,Green Bay Packers
2014-09-07,L,,Buffalo Bills
2014-09-14,W,@,San Francisco 49ers
2014-09-22,W,@,New York Jets
2014-09-28,L,,Green Bay Packers
2014-10-05,L,@,Carolina Panthers
2014-10-12,W,@,Atlanta Falcons
2014-10-19,L,,Miami Dolphins
2014-10-26,L,@,New England Patriots
2014-11-09,L,@,Green Bay Packers
2014-11-16,W,,Minnesota Vikings
2014-11-23,W,,Tampa Bay Buccaneers
2014-11-27,L,@,Detroit Lions
2014-12-04,L,,Dallas Cowboys
2014-12-15,L,,New Orleans Saints
2014-12-21,L,,Detroit Lions
